canton,source,url,title,type,depth,parent_url
BE,be_iv_canton,https://www.ivbe.ch/de/veranstaltungen/fachseminar_arbeitgeber.html,Fachseminar für Arbeitgebende,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/veranstaltungen/vertiefungsseminar_sozialdienste.html,Vertiefungsseminar Sozialdienste,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/veranstaltungen/arbeitgeberveranstaltung.html,Arbeitgeberveranstaltung,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/veranstaltungen/aerztefortbildung-iv-arztbericht.html,Ärztefortbildung «IV-Arztbericht»,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/veranstaltungen/fortbildung-kinder-jugendpsychiater.html,Fortbildung für Kinder- und Jugendpsychiater,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/veranstaltungen/gutachternachmittag.html,Gutachternachmittag,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/jahresbericht.html,Jahresbericht,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/magazin.html,Magazin Wegweiser,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/newsletter.html,Newsletter,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/soziale-medien.html,Soziale Medien,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/videos.html,Videos,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/links.html,Links,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt/beratungstelefon.html,Beratungstelefon,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt/adressen_oeffnungszeiten.html,Adressen und Öffnungszeiten,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:aaf44a72-69af-4ad3-a541-e381a08d47cf/Situationsplan_IVBE.pdf,Situationsplan Bern,pdf,2,https://www.ivbe.ch/de/kontakt/adressen_oeffnungszeiten.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:cf93265c-90c3-4f85-abea-2ab9a7ff1b68/IV_Situationsplan_Flyer_DE.pdf,Situationsplan Biel,pdf,2,https://www.ivbe.ch/de/kontakt/adressen_oeffnungszeiten.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:f569e953-daf5-4ba7-8582-b03efd6be872/Situationsplan%20Zweigstelle%20Burgdorf.pdf,Situationsplan Burgdorf,pdf,2,https://www.ivbe.ch/de/kontakt/adressen_oeffnungszeiten.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:ff04774a-9649-4c1f-8983-d78ce49a1c1d/Situationsplan%20Zweigstelle%20Thun.pdf,Situationsplan Thun,pdf,2,https://www.ivbe.ch/de/kontakt/adressen_oeffnungszeiten.html
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt/kontaktformulare/mitteilung.html,Mitteilung,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt/kontaktformulare/bescheinigung.html,Bescheinigung,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt/kontaktformulare/adressaenderung.html,Adressänderung,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt/medienstelle.html,Medienstelle,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt/impressum_datenschutz.html,Impressum & Datenschutz,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/extranet-login.html,IVBEasy,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/plattform_iv-rechnungen.html,Plattform für IV-Rechnungen,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:3b1377fc-2d8b-42a1-9942-8f50b28d6e78/Online-Schalter%20-%20Beg%C3%BCnstigte%20-%20DE%20-%20v2.1.pdf,Leitfaden für Begünstigte,pdf,2,https://www.ivbe.ch/de/plattform_iv-rechnungen.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:8edf910d-4930-4caa-be7e-26d831c28e07/Online-Schalter%20-%20Organisationen%20-%20DE%20-%20v2.1%20(1).pdf,Leitfaden für Organisationen,pdf,2,https://www.ivbe.ch/de/plattform_iv-rechnungen.html
BE,be_iv_canton,https://www.ivbe.ch/de/kontakt.html,Kontakt,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/fr.html,Bienvenue - Office AI Canton de Berne,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/privatperson.html,Privatperson,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/arbeitgeber.html,Arbeitgeber/Arbeitgeberin,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/iiz.html,Interinstitutionelle Zusammenarbeit (IIZ),page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/magazin/abklaerungen.html,Abklärungen,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/publikationen/magazin/partnerschaften-netzwerke.html,partnerschaften-netzwerke,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/ueber-uns/portraet.html,Porträt,page,1,https://www.ivbe.ch/
